config,seed,trial,clean_best_so_far
⑤: mono + gp_prior (rescued),43,14,0.5990637996563075
⑤: mono + gp_prior (rescued),43,15,0.5990637996563075
⑤: mono + gp_prior (rescued),43,16,0.5990637996563075
⑤: mono + gp_prior (rescued),43,17,0.5990637996563075
⑤: mono + gp_prior (rescued),43,18,0.5990637996563075
⑤: mono + gp_prior (rescued),43,19,0.5990637996563075
⑤: mono + gp_prior (rescued),43,20,0.5990637996563075
⑤: mono + gp_prior (rescued),43,21,0.5990637996563075
⑤: mono + gp_prior (rescued),44,1,0.490520292401848
⑤: mono + gp_prior (rescued),44,2,0.490520292401848
⑤: mono + gp_prior (rescued),44,3,0.490520292401848
⑤: mono + gp_prior (rescued),44,4,0.490520292401848
⑤: mono + gp_prior (rescued),44,5,0.490520292401848
⑤: mono + gp_prior (rescued),44,6,0.490520292401848
⑤: mono + gp_prior (rescued),44,7,0.5554605229736332
⑤: mono + gp_prior (rescued),44,8,0.5554605229736332
⑤: mono + gp_prior (rescued),44,9,0.5554605229736332
⑤: mono + gp_prior (rescued),44,10,0.6042715019745276
⑤: mono + gp_prior (rescued),44,11,0.6057688711678717
⑤: mono + gp_prior (rescued),44,12,0.6057688711678717
⑤: mono + gp_prior (rescued),44,13,0.6057688711678717
⑤: mono + gp_prior (rescued),44,14,0.6057688711678717
⑤: mono + gp_prior (rescued),44,15,0.6057688711678717
⑤: mono + gp_prior (rescued),44,16,0.6057688711678717
⑤: mono + gp_prior (rescued),44,17,0.6057688711678717
⑤: mono + gp_prior (rescued),44,18,0.6057688711678717
⑤: mono + gp_prior (rescued),44,19,0.6057688711678717
⑤: mono + gp_prior (rescued),44,20,0.6057688711678717
